epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.359,1.493,3.13695,1.32803,0.00349,0.96774,0.2111,0.08966,1.34109,3.82554,1.2032,0.000631579,0.000631579,0.000631579
2,354.311,1.5527,2.20891,1.28083,0.00427,0.58158,0.25664,0.13343,1.50909,3.77168,1.3519,0.00127254,0.00127254,0.00127254
3,444.107,1.52787,1.95115,1.24805,0.5668,0.08602,0.1227,0.06127,1.63617,3.94405,1.49313,0.0018871,0.0018871,0.0018871
4,530.706,1.58006,1.95115,1.37945,0.0365,0.12903,0.01766,0.0076,1.68138,5.33498,1.59891,0.0018812,0.0018812,0.0018812
5,613.91,1.49777,1.66437,1.2843,0.29798,0.47312,0.28538,0.11553,1.64807,2.79199,1.85112,0.0018416,0.0018416,0.0018416
6,706.683,1.5498,1.61467,1.32358,0.43893,0.47312,0.36425,0.1525,1.83427,2.49166,1.63904,0.001802,0.001802,0.001802
7,790.822,1.50248,1.51436,1.30018,0.84619,0.65074,0.7623,0.39239,1.5583,1.99523,1.55697,0.0017624,0.0017624,0.0017624
8,873.079,1.52864,1.42817,1.30099,0.858,0.65591,0.78033,0.3968,1.59715,1.81508,1.522,0.0017228,0.0017228,0.0017228
9,955.283,1.43923,1.26642,1.25941,0.40608,0.43378,0.34476,0.16959,1.61837,4.64465,1.61778,0.0016832,0.0016832,0.0016832
10,1036.38,1.39763,1.23528,1.28247,0.89411,0.7264,0.80782,0.43329,1.59379,1.57671,1.49775,0.0016436,0.0016436,0.0016436
11,1117.27,1.42649,1.18542,1.26439,0.77032,0.77419,0.8158,0.43347,1.50982,1.61101,1.42543,0.001604,0.001604,0.001604
12,1199.79,1.42043,1.14883,1.23496,0.8968,0.67742,0.83985,0.44834,1.58281,1.4015,1.5398,0.0015644,0.0015644,0.0015644
13,1281.42,1.41298,1.08965,1.22417,0.92673,0.69892,0.80887,0.43972,1.62818,1.32854,1.48881,0.0015248,0.0015248,0.0015248
14,1363.76,1.44836,1.11564,1.24103,0.84371,0.75463,0.85464,0.458,1.57458,1.2473,1.47116,0.0014852,0.0014852,0.0014852
15,1445.12,1.35411,1.01795,1.22886,0.84544,0.7957,0.86452,0.50602,1.53566,1.42023,1.4796,0.0014456,0.0014456,0.0014456
16,1528.19,1.40033,1.00236,1.24819,0.90986,0.75974,0.87135,0.47203,1.48983,1.2297,1.37943,0.001406,0.001406,0.001406
17,1609.47,1.34212,1.01762,1.19435,0.83513,0.82796,0.85609,0.4786,1.4987,1.14825,1.35317,0.0013664,0.0013664,0.0013664
18,1731.01,1.41551,0.97814,1.2251,0.95976,0.76936,0.88556,0.51872,1.37874,1.0909,1.33124,0.0013268,0.0013268,0.0013268
19,1934.72,1.36326,0.95021,1.21129,0.86881,0.85457,0.90193,0.49559,1.4425,1.08666,1.31764,0.0012872,0.0012872,0.0012872
20,2149.39,1.33896,0.91337,1.19995,0.8639,0.81903,0.87158,0.47118,1.44637,1.25969,1.33952,0.0012476,0.0012476,0.0012476
21,2361.79,1.29374,0.94487,1.17966,0.88109,0.79674,0.89217,0.5118,1.43522,1.11118,1.34982,0.001208,0.001208,0.001208
22,2577.19,1.24325,0.86694,1.14211,0.86838,0.85135,0.89552,0.51381,1.43414,1.01586,1.34016,0.0011684,0.0011684,0.0011684
23,2779.51,1.28409,0.85918,1.17321,0.91303,0.87097,0.91544,0.49831,1.45461,1.00433,1.32975,0.0011288,0.0011288,0.0011288
24,2956.96,1.30737,0.85642,1.17432,0.8767,0.83871,0.89721,0.525,1.34847,1.04702,1.29051,0.0010892,0.0010892,0.0010892
25,3057.15,1.3067,0.8585,1.18255,0.93678,0.79668,0.90171,0.51797,1.42472,0.98465,1.34867,0.0010496,0.0010496,0.0010496
26,3149.66,1.27923,0.81736,1.17066,0.91064,0.87662,0.91406,0.50247,1.46108,0.91355,1.34962,0.00101,0.00101,0.00101
