image,ground_truth,baseline,improved,baseline_char_accuracy,improved_char_accuracy,baseline_exact,improved_exact
Cars109.png,CZI7KOD,CZI7KOD,ACZI7KOD,1.0,0.0,1,0
Cars11.png,WOR5I6K,WORSIGK,WORSIGK,0.7142857142857143,0.7142857142857143,0,0
Cars111.png,MH20EE7598,MH20EE7598,MH20EE7598,1.0,1.0,1,1
Cars112.png,SHAKNBK,,,0.0,0.0,0,0
Cars140.png,CH01AN0001,,,0.0,0.0,0,0
Cars145.png,CH01AN0001,,,0.0,0.0,0,0
Cars15.png,TM21BY0166,NM,,0.1,0.0,0,0
Cars162.png,MAHINDRA,TAHIR,TATINES,0.375,0.375,0,0
Cars17.png,YSX213,YSK2I3,YSX23,0.6666666666666666,0.6666666666666666,0,0
Cars171.png,BJR216,,BURZI6,0.0,0.5,0,0
Cars19.png,AFR2011,AER2011,AFR2011,0.8571428571428571,1.0,0,1
Cars198.png,MHO1AV8866,WHO1AY8866,MHO1AV8866,0.8,1.0,0,1
Cars199.png,MHO1AE8017,MHO4NE8017,MHO4NE8017,0.8,0.8,0,0
Cars2.png,PRENUP,BRICANINY,,0.16666666666666666,0.0,0,0
Cars200.png,KA03AB3380,,A03AB3380,0.0,0.1,0,0
Cars205.png,NOTACOP,NOTACOP,NOTACOP,1.0,1.0,1,1
Cars210.png,MHO1AE8017,MHO4NE8017,MHO4NE8017,0.8,0.8,0,0
Cars224.png,KL88AU777,HEII4777,EHEE84777,0.2222222222222222,0.3333333333333333,0,0
Cars226.png,TN19S4523,TN194523,N194523,0.4444444444444444,0.0,0,0
Cars255.png,MH20EJ0364,MH20EJ0364,MH20EJ0364,1.0,1.0,1,1
Cars291.png,KA02A6579,KK02A6579,KA02A6579,0.8888888888888888,1.0,0,1
Cars293.png,GBI8TCE,GBI8TCE,BGBI8TCE,1.0,0.0,1,0
Cars304.png,HNYCHIL3,FINVOHIL3,RICH,0.0,0.0,0,0
Cars330.png,MAB751,WAG7E,,0.3333333333333333,0.0,0,0
Cars35.png,AK1099,KOM,ES,0.0,0.0,0,0
Cars357.png,AK0188,KOM,ES,0.0,0.0,0,0
Cars37.png,FAST,FAST,ERST,1.0,0.5,1,0
Cars370.png,CH01AN0001,,,0.0,0.0,0,0
Cars376.png,B2228HM,B2228HM,BB2228HM,1.0,0.42857142857142855,1,0
Cars393.png,M771276,M7127,M771278,0.2857142857142857,0.8571428571428571,0,0
Cars398.png,MMN306,,,0.0,0.0,0,0
Cars41.png,YNTZDBG,YNTZDBG,YNTZDBG,1.0,1.0,1,1
Cars42.png,BYHM136,YH136,BY136,0.0,0.2857142857142857,0,0
Cars421.png,COOP367,AA,,0.0,0.0,0,0
Cars428.png,DZ17YXR,DZI7YXR,DZI7YXR,0.8571428571428571,0.8571428571428571,0,0
Cars49.png,30461C,,,0.0,0.0,0,0
Cars50.png,PUI8BES,PUIABES,PULABES,0.8571428571428571,0.7142857142857143,0,0
Cars59.png,MH45P165,RW488,RMYTS,0.125,0.0,0,0
Cars68.png,BJR216,,BURZI6,0.0,0.5,0,0
Cars85.png,VU63GTY,AVUG3CTY,AVUG3CTY,0.0,0.0,0,0
Cars88.png,D151,VICEST,WOYS7,0.0,0.0,0,0
Cars96.png,PGMN112,PGEMN112,,0.42857142857142855,0.0,0,0
