image,ground_truth,baseline,improved,baseline_char_accuracy,improved_char_accuracy,baseline_exact,improved_exact
Cars109.png,CZI7KOD,CZI7KOD,,1.0,0.0,1,0
Cars11.png,WOR516K,WORSIGK,WORSIGK,0.5714285714285714,0.5714285714285714,0,0
Cars111.png,MH20EE7598,MH20EE7598,MH20EE7598,1.0,1.0,1,1
Cars112.png,SHAKNBK,,,0.0,0.0,0,0
Cars140.png,CH01AN0001,,,0.0,0.0,0,0
Cars145.png,CH01AN0001,,,0.0,0.0,0,0
Cars15.png,TM21BY0166,,,0.0,0.0,0,0
Cars162.png,MAHINDRA,T,T,0.0,0.0,0,0
Cars17.png,YSX213,SK213,S213,0.0,0.0,0,0
Cars171.png,BJR216,,BR26,0.0,0.16666666666666666,0,0
Cars19.png,AFR2011,AER2011,AFR2011,0.8571428571428571,1.0,0,1
Cars198.png,MHO1AV8866,WHO1AY8866,MHO1AY8866,0.8,0.9,0,0
Cars199.png,MHO1AE8017,MHO4NE8017,MHO4NE8017,0.8,0.8,0,0
Cars2.png,PRENUP,B,,0.0,0.0,0,0
Cars200.png,KA03AB3380,,,0.0,0.0,0,0
Cars205.png,NOTACOP,NOTACOP,INOTACOP,1.0,0.0,1,0
Cars210.png,MHO1AE8017,MHO4NE8017,MHO4NE8017,0.8,0.8,0,0
Cars224.png,KL88AU777,N4S777,,0.0,0.0,0,0
Cars226.png,TN19S4523,TN194523,,0.4444444444444444,0.0,0,0
Cars255.png,MH20EJ0364,MH20EJ0364,MH20EJ0364,1.0,1.0,1,1
Cars291.png,KA02A6579,K02A6579,KA02A6579,0.1111111111111111,1.0,0,1
Cars293.png,GBI8TCE,GBI8TCE,GBI8TCE,1.0,1.0,1,1
Cars304.png,HNYCHIL3,FANVOHIL3,NHL,0.0,0.0,0,0
Cars330.png,MA6751,WAG7E,TAGIED,0.3333333333333333,0.16666666666666666,0,0
Cars35.png,AK0188,KOM,,0.0,0.0,0,0
Cars357.png,AK0188,KOM,,0.0,0.0,0,0
Cars37.png,FAST,FAST,SFAST,1.0,0.0,1,0
Cars370.png,CH01AN0001,,,0.0,0.0,0,0
Cars376.png,B2228HM,B2228HM,8B2228HM,1.0,0.2857142857142857,1,0
Cars393.png,M771276,M7712787,M771276,0.8571428571428571,1.0,0,1
Cars398.png,MMN306,,,0.0,0.0,0,0
Cars41.png,YNTZDBG,YNTZDBG,,1.0,0.0,1,0
Cars42.png,BYHM136,BYHM136,BYHN136,1.0,0.8571428571428571,1,0
Cars421.png,COOP367,SA,AN,0.0,0.0,0,0
Cars428.png,DZI7YXR,DZI7YXR,DZI7YXR,1.0,1.0,1,1
Cars49.png,30461C,,,0.0,0.0,0,0
Cars50.png,PUI8BES,PUI8BES,,1.0,0.0,1,0
Cars59.png,MH45P155,488,,0.0,0.0,0,0
Cars68.png,BJR216,,BR26,0.0,0.16666666666666666,0,0
Cars85.png,VU63GTY,AVUG3CTY,AVU63CTY,0.0,0.0,0,0
Cars88.png,D151,VST,V57,0.0,0.0,0,0
Cars96.png,PGMN112,PGMN112,PGMN112,1.0,1.0,1,1
